id;author;text;created_date
1;Salad transparent Bedfordshire;Cheese aggregate;2021-07-14T04:04:14
2;Officer Afghanistan Cheese;Paradigm Orchestrator;2021-07-13T13:46:07
3;Frozen Bedfordshire;Buckinghamshire copy;2021-07-14T07:29:04
4;Dirham bus wireless;Computers e-business;2021-07-13T14:20:17
5;throughput copying cross-platform;Industrial e-tailers;2021-07-13T19:13:51
6;Generic Reduced deposit;Facilitator Licensed;2021-07-13T07:40:26
7;Key;parsing FTP;2021-07-13T14:43:05
8;unleash;repurpose Soft Home;2021-07-13T15:54:02
9;New;North payment killer;2021-07-13T13:53:19
10;multi-byte;Personal Principal;2021-07-13T18:10:35
